,Name,Bioactivities,Values
37,P_evecta_Rhizome,Emax_amylase_2,35.12429832
38,P_evecta_Rhizome,Emax_amylase_3,36.08660786
39,P_evecta_Rhizome,Emax_glucosidase_1,50.31707317
40,P_evecta_Rhizome,Emax_glucosidase_2,50.90243902
41,P_evecta_Rhizome,Emax_glucosidase_3,50.46341463
42,P_evecta_Rhizome,IC50_glucosidase_1,0.641052022
43,P_evecta_Rhizome,IC50_glucosidase_2,0.591332734
44,P_evecta_Rhizome,IC50_glucosidase_3,0.652539994
45,E_cuneatum,Emax_amylase_1,86.44747394
46,E_cuneatum,Emax_amylase_2,86.44747394
47,E_cuneatum,Emax_amylase_3,86.60785886
48,E_cuneatum,IC50_amylase_1,0.171532301
49,E_cuneatum,IC50_amylase_2,0.164251297
50,E_cuneatum,IC50_amylase_3,0.186662886
51,E_cuneatum,Emax_glucosidase_1,39.48780488
52,E_cuneatum,Emax_glucosidase_2,39.56097561
53,E_cuneatum,Emax_glucosidase_3,39.70731707
54,P_anamense,Emax_amylase_1,35.3648757
55,P_anamense,Emax_amylase_2,35.12429832
56,P_anamense,Emax_amylase_3,34.80352847
57,P_anamense,Emax_glucosidase_1,54.26829268
58,P_anamense,Emax_glucosidase_2,54.19512195
59,P_anamense,Emax_glucosidase_3,55.07317073
60,P_anamense,IC50_glucosidase_1,0.531791445
61,P_anamense,IC50_glucosidase_2,0.523258781
62,P_anamense,IC50_glucosidase_3,0.511069199
63,A_marginata,Emax_amylase_1,15.95829992
64,A_marginata,Emax_amylase_2,16.03849238
65,A_marginata,Emax_amylase_3,16.11868484
66,A_marginata,Emax_glucosidase_1,37.51219512
67,A_marginata,Emax_glucosidase_2,37.73170732
68,A_marginata,Emax_glucosidase_3,37.43902439
69,E_cherrevensis,Emax_amylase_1,77.78668805
70,E_cherrevensis,Emax_amylase_2,77.94707298
71,E_cherrevensis,Emax_amylase_3,77.54611067
72,E_cherrevensis,IC50_amylase_1,0.176732594
73,E_cherrevensis,IC50_amylase_2,0.182894169
74,E_cherrevensis,IC50_amylase_3,0.173493962
75,E_cherrevensis,Emax_glucosidase_1,39.63414634
76,E_cherrevensis,Emax_glucosidase_2,39.70731707
77,E_cherrevensis,Emax_glucosidase_3,40.14634146
78,F_indica,Emax_amylase_1,84.52285485
79,F_indica,Emax_amylase_2,84.36246993
80,F_indica,Emax_amylase_3,84.44266239
81,F_indica,IC50_amylase_1,0.158998013
82,F_indica,IC50_amylase_2,0.163765448
83,F_indica,IC50_amylase_3,0.154955742
84,F_indica,Emax_glucosidase_1,38.90243902
85,F_indica,Emax_glucosidase_2,39.12195122
86,F_indica,Emax_glucosidase_3,39.26829268
87,H_perforata,Emax_amylase_1,34.80352847
88,H_perforata,Emax_amylase_2,35.3648757
89,H_perforata,Emax_amylase_3,35.28468324
90,H_perforata,Emax_glucosidase_1,40.51219512
91,H_perforata,Emax_glucosidase_2,39.92682927
92,H_perforata,Emax_glucosidase_3,39.19512195
93,R_dumetorum,Emax_amylase_1,30.3127506
94,R_dumetorum,Emax_amylase_2,30.15236568
95,R_dumetorum,Emax_amylase_3,30.55332799
96,R_dumetorum,Emax_glucosidase_1,9.634146341
97,R_dumetorum,Emax_glucosidase_2,10.58536585
98,R_dumetorum,Emax_glucosidase_3,11.24390244
99,C_filiformis,Emax_amylase_1,35.28468324
100,C_filiformis,Emax_amylase_2,35.68564555
101,C_filiformis,Emax_amylase_3,35.84603047
102,C_filiformis,Emax_glucosidase_1,36.85365854
103,C_filiformis,Emax_glucosidase_2,36.19512195
104,C_filiformis,Emax_glucosidase_3,37.0
105,P_Kesiya,Emax_amylase_1,94.9478749
106,P_Kesiya,Emax_amylase_2,95.02806736
107,P_Kesiya,Emax_amylase_3,94.86768244
108,P_Kesiya,IC50_amylase_1,0.110734917
109,P_Kesiya,IC50_amylase_2,0.110631085
110,P_Kesiya,IC50_amylase_3,0.112671948
111,P_Kesiya,Emax_glucosidase_1,52.36585366
112,P_Kesiya,Emax_glucosidase_2,52.29268293
113,P_Kesiya,Emax_glucosidase_3,52.29268293
114,P_Kesiya,IC50_glucosidase_1,0.596354652
115,P_Kesiya,IC50_glucosidase_2,0.586174114
116,P_Kesiya,IC50_glucosidase_3,0.613579166
117,A_pulchellus,Emax_amylase_1,24.85966319
118,A_pulchellus,Emax_amylase_2,24.29831596
119,A_pulchellus,Emax_amylase_3,24.85966319
120,A_pulchellus,Emax_glucosidase_1,15.92682927
121,A_pulchellus,Emax_glucosidase_2,15.70731707
122,A_pulchellus,Emax_glucosidase_3,15.92682927
123,T_loureiri,Emax_amylase_1,47.31355253
124,T_loureiri,Emax_amylase_2,47.47393745
125,T_loureiri,Emax_amylase_3,47.23336006
126,T_loureiri,Emax_glucosidase_1,20.68292683
127,T_loureiri,Emax_glucosidase_2,20.46341463
128,T_loureiri,Emax_glucosidase_3,20.3902439
129,R_succedanea,Emax_amylase_1,29.83159583
130,R_succedanea,Emax_amylase_2,29.91178829
131,R_succedanea,Emax_amylase_3,29.99198075
132,R_succedanea,Emax_glucosidase_1,31.43902439
133,R_succedanea,Emax_glucosidase_2,31.65853659
134,R_succedanea,Emax_glucosidase_3,31.73170732
135,R_javanica,Emax_amylase_1,82.03688853
136,R_javanica,Emax_amylase_2,82.11708099
137,R_javanica,Emax_amylase_3,82.11708099
138,R_javanica,IC50_amylase_1,0.13509943
139,R_javanica,IC50_amylase_2,0.136925867
140,R_javanica,IC50_amylase_3,0.135987918
141,R_javanica,Emax_glucosidase_1,38.82926829
142,R_javanica,Emax_glucosidase_2,38.75609756
143,R_javanica,Emax_glucosidase_3,38.97560976
144,C_formosum,Emax_amylase_1,87.24939856
145,C_formosum,Emax_amylase_2,86.84843625
146,C_formosum,Emax_amylase_3,87.00882117
147,C_formosum,IC50_amylase_1,0.165075142
148,C_formosum,IC50_amylase_2,0.16198642
149,C_formosum,IC50_amylase_3,0.17243936
150,C_formosum,Emax_glucosidase_1,49.87804878
151,C_formosum,Emax_glucosidase_2,50.75609756
152,C_formosum,Emax_glucosidase_3,50.17073171
153,C_formosum,IC50_glucosidase_1,0.627348207
154,C_formosum,IC50_glucosidase_2,0.634787991
155,C_formosum,IC50_glucosidase_3,0.685348279
156,G_daltonii ,Emax_amylase_1,27.42582197
157,G_daltonii ,Emax_amylase_2,25.18043304
158,G_daltonii ,Emax_amylase_3,29.43063352
159,G_daltonii ,Emax_glucosidase_1,37.80487805
160,G_daltonii ,Emax_glucosidase_2,37.65853659
161,G_daltonii ,Emax_glucosidase_3,37.36585366
162,B_anceps,Emax_amylase_1,13.15156375
163,B_anceps,Emax_amylase_2,13.07137129
164,B_anceps,Emax_amylase_3,13.4723336
165,B_anceps,Emax_glucosidase_1,39.7804878
166,B_anceps,Emax_glucosidase_2,38.75609756
167,B_anceps,Emax_glucosidase_3,38.90243902
168,C_tomentosa,Emax_amylase_1,21.33119487
169,C_tomentosa,Emax_amylase_2,23.49639134
170,C_tomentosa,Emax_amylase_3,19.08580593
171,C_tomentosa,Emax_glucosidase_1,33.92682927
172,C_tomentosa,Emax_glucosidase_2,33.41463415
173,C_tomentosa,Emax_glucosidase_3,34.2195122
174,D_castanea_twig,Emax_amylase_1,42.34161989
175,D_castanea_twig,Emax_amylase_2,41.61988773
176,D_castanea_twig,Emax_amylase_3,42.26142743
177,D_castanea_twig,Emax_glucosidase_1,29.6097561
178,D_castanea_twig,Emax_glucosidase_2,29.53658537
179,D_castanea_twig,Emax_glucosidase_3,29.90243902
180,D_castanea_leaf,Emax_amylase_1,84.202085
181,D_castanea_leaf,Emax_amylase_2,84.28227747
182,D_castanea_leaf,Emax_amylase_3,83.96150762
183,D_castanea_leaf,IC50_amylase_1,0.161299348
184,D_castanea_leaf,IC50_amylase_2,0.16150857
185,D_castanea_leaf,IC50_amylase_3,0.160221486
186,D_castanea_leaf,Emax_glucosidase_1,20.68292683
187,D_castanea_leaf,Emax_glucosidase_2,20.90243902
188,D_castanea_leaf,Emax_glucosidase_3,20.97560976
189,L_coromandelica,Emax_amylase_1,29.99198075
190,L_coromandelica,Emax_amylase_2,29.67121091
191,L_coromandelica,Emax_amylase_3,29.91178829
192,L_coromandelica,Emax_glucosidase_1,31.29268293
193,L_coromandelica,Emax_glucosidase_2,31.58536585
194,L_coromandelica,Emax_glucosidase_3,31.29268293
195,E_succirubrum,Emax_amylase_1,35.52526063
196,E_succirubrum,Emax_amylase_2,35.20449078
197,E_succirubrum,Emax_amylase_3,35.3648757
198,E_succirubrum,Emax_glucosidase_1,32.68292683
199,E_succirubrum,Emax_glucosidase_2,32.6097561
200,E_succirubrum,Emax_glucosidase_3,32.24390244
201,T_mucronata,Emax_amylase_1,95.82999198
202,T_mucronata,Emax_amylase_2,95.66960706
203,T_mucronata,Emax_amylase_3,95.5894146
204,T_mucronata,IC50_amylase_1,0.156587377
205,T_mucronata,IC50_amylase_2,0.15455124
206,T_mucronata,IC50_amylase_3,0.156910164
207,T_mucronata,Emax_glucosidase_1,9.268292683
208,T_mucronata,Emax_glucosidase_2,9.487804878
209,T_mucronata,Emax_glucosidase_3,10.2195122
210,D_winitii,Emax_amylase_1,93.42421812
211,D_winitii,Emax_amylase_2,93.18364074
212,D_winitii,Emax_amylase_3,93.18364074
213,D_winitii,IC50_amylase_1,0.11887918
214,D_winitii,IC50_amylase_2,0.119152301
215,D_winitii,IC50_amylase_3,0.118390711
216,D_winitii,Emax_glucosidase_1,39.48780488
217,D_winitii,Emax_glucosidase_2,39.7804878
218,D_winitii,Emax_glucosidase_3,39.85365854
219,B_insulana,Emax_amylase_1,92.06094627
220,B_insulana,Emax_amylase_2,91.98075381
221,B_insulana,Emax_amylase_3,92.78267843
222,B_insulana,IC50_amylase_1,0.158688155
223,B_insulana,IC50_amylase_2,0.157088139
224,B_insulana,IC50_amylase_3,0.163882747
225,B_insulana,Emax_glucosidase_1,34.14634146
226,B_insulana,Emax_glucosidase_2,32.53658537
227,B_insulana,Emax_glucosidase_3,31.43902439
228,A_vanprukii,Emax_amylase_1,27.10505213
229,A_vanprukii,Emax_amylase_2,27.18524459
230,A_vanprukii,Emax_amylase_3,27.42582197
231,A_vanprukii,Emax_glucosidase_1,30.56097561
232,A_vanprukii,Emax_glucosidase_2,30.92682927
233,A_vanprukii,Emax_glucosidase_3,30.7804878
234,T_triptera,Emax_amylase_1,33.36006415
235,T_triptera,Emax_amylase_2,33.44025662
236,T_triptera,Emax_amylase_3,33.52044908
237,T_triptera,Emax_glucosidase_1,32.75609756
238,T_triptera,Emax_glucosidase_2,32.53658537
239,T_triptera,Emax_glucosidase_3,32.46341463
240,C_oblongifolius,Emax_amylase_1,12.26944667
241,C_oblongifolius,Emax_amylase_2,12.51002406
242,C_oblongifolius,Emax_amylase_3,12.99117883
243,C_oblongifolius,Emax_glucosidase_1,53.09756098
244,C_oblongifolius,Emax_glucosidase_2,52.2195122
245,C_oblongifolius,Emax_glucosidase_3,53.68292683
246,C_oblongifolius,IC50_glucosidase_1,0.498515812
247,C_oblongifolius,IC50_glucosidase_2,0.530108326
248,C_oblongifolius,IC50_glucosidase_3,0.439253073
