"","chi2","T","P","P.adjusted","comparisons"
"100",91.6325317535522,-17.8798745193289,1.86749151106694e-26,1.86749151106694e-26,"C_tomentosa - E_succirubrum"
"101",91.6325317535522,12.1818925296527,2.11737645705495e-18,2.11737645705495e-18,"D_castanea_leaf - E_succirubrum"
"102",91.6325317535522,5.10853557695112,1.66952949008419e-06,1.66952949008419e-06,"D_castanea_twig - E_succirubrum"
"103",91.6325317535522,21.0235887205296,3.30787792619421e-30,3.30787792619421e-30,"D_winitii - E_succirubrum"
"104",91.6325317535522,8.64521405330189,1.51383350733342e-12,1.51383350733342e-12,"E_cherrevensis - E_succirubrum"
"105",91.6325317535522,15.7185710060034,1.32471514676405e-23,1.32471514676405e-23,"E_cuneatum - E_succirubrum"
"106",91.6325317535522,-33.5984455253324,8.4471920214911e-42,8.4471920214911e-42,"A_marginata - F_indica"
"107",91.6325317535522,-30.0617670489816,5.63382851229042e-39,5.63382851229042e-39,"A_pulchellus - F_indica"
"108",91.6325317535522,-27.6057403292935,7.73641258760358e-37,7.73641258760358e-37,"A_vanprukii - F_indica"
"109",91.6325317535522,-35.3667847635077,4.10225212713595e-43,4.10225212713595e-43,"B_anceps - F_indica"
"110",91.6325317535522,5.30501771452616,7.99998750790021e-07,7.99998750790021e-07,"B_insulana - F_indica"
"111",91.6325317535522,-12.6730978735903,3.64486858828935e-19,3.64486858828935e-19,"C_filiformis - F_indica"
"112",91.6325317535522,3.53667847635077,0.000386734119832946,0.000386734119832946,"C_formosum - F_indica"
"113",91.6325317535522,-37.1351240016831,2.27826561078339e-44,2.27826561078339e-44,"C_oblongifolius - F_indica"
"114",91.6325317535522,-31.830106287157,2.01361747608683e-40,2.01361747608683e-40,"C_tomentosa - F_indica"
"115",91.6325317535522,-1.76833923817539,0.0409618174827537,0.0409618174827537,"D_castanea_leaf - F_indica"
"116",91.6325317535522,-8.84169619087694,6.94755765276207e-13,6.94755765276207e-13,"D_castanea_twig - F_indica"
"117",91.6325317535522,7.07335695270155,8.02515544962155e-10,8.02515544962155e-10,"D_winitii - F_indica"
"118",91.6325317535522,-5.30501771452616,7.99998750790021e-07,7.99998750790021e-07,"E_cherrevensis - F_indica"
"119",91.6325317535522,1.76833923817539,0.0409618174827537,0.0409618174827537,"E_cuneatum - F_indica"
"120",91.6325317535522,-13.9502317678281,4.34106999703929e-21,4.34106999703929e-21,"E_succirubrum - F_indica"
"121",91.6325317535522,-49.0222933249732,1.3339065422359e-51,1.3339065422359e-51,"A_marginata - G_cowa"
"122",91.6325317535522,-45.4856148486225,1.22348551626086e-49,1.22348551626086e-49,"A_pulchellus - G_cowa"
"123",91.6325317535522,-43.0295881289344,3.44372507227827e-48,3.44372507227827e-48,"A_vanprukii - G_cowa"
"124",91.6325317535522,-50.7906325631486,1.56232243641896e-52,1.56232243641896e-52,"B_anceps - G_cowa"
"125",91.6325317535522,-10.1188300851147,4.71735140668759e-15,4.71735140668759e-15,"B_insulana - G_cowa"
"126",91.6325317535522,-28.0969456732312,2.80699781204969e-37,2.80699781204969e-37,"C_filiformis - G_cowa"
"127",91.6325317535522,-11.8871693232901,6.17440163756754e-18,6.17440163756754e-18,"C_formosum - G_cowa"
"128",91.6325317535522,-52.558971801324,1.96265425454983e-53,1.96265425454983e-53,"C_oblongifolius - G_cowa"
"129",91.6325317535522,-47.2539540867978,1.22736981648431e-50,1.22736981648431e-50,"C_tomentosa - G_cowa"
"130",91.6325317535522,-17.1921870378163,1.42167804719359e-25,1.42167804719359e-25,"D_castanea_leaf - G_cowa"
"131",91.6325317535522,-24.2655439905178,1.17737623754378e-33,1.17737623754378e-33,"D_castanea_twig - G_cowa"
"132",91.6325317535522,-8.35049084693933,4.88761245442254e-12,4.88761245442254e-12,"D_winitii - G_cowa"
"133",91.6325317535522,-20.728865514167,7.12985171000113e-30,7.12985171000113e-30,"E_cherrevensis - G_cowa"
"134",91.6325317535522,-13.6555085614655,1.18456213382499e-20,1.18456213382499e-20,"E_cuneatum - G_cowa"
"135",91.6325317535522,-29.3740795674689,2.15611974984015e-38,2.15611974984015e-38,"E_succirubrum - G_cowa"
"136",91.6325317535522,-15.4238477996409,3.38529346970995e-23,3.38529346970995e-23,"F_indica - G_cowa"
"137",91.6325317535522,-6.3856694711889,1.22833984603473e-08,1.22833984603473e-08,"A_marginata - G_daltonii "
"138",91.6325317535522,-2.84899099483812,0.00297223249468384,0.00297223249468384,"A_pulchellus - G_daltonii "
"139",91.6325317535522,-0.392964275150085,0.347846893273454,0.347846893273454,"A_vanprukii - G_daltonii "
"140",91.6325317535522,-8.15400870936428,1.06984590666028e-11,1.06984590666028e-11,"B_anceps - G_daltonii "
"141",91.6325317535522,32.5177937686696,5.76041656772965e-41,5.76041656772965e-41,"B_insulana - G_daltonii "
"142",91.6325317535522,14.5396781805532,6.02724564400424e-22,6.02724564400424e-22,"C_filiformis - G_daltonii "
"143",91.6325317535522,30.7494545304942,1.51171306424518e-39,1.51171306424518e-39,"C_formosum - G_daltonii "
"144",91.6325317535522,-9.92234794753967,1.00741039100795e-14,1.00741039100795e-14,"C_oblongifolius - G_daltonii "
"145",91.6325317535522,-4.61733023301351,1.00456022198334e-05,1.00456022198334e-05,"C_tomentosa - G_daltonii "
"146",91.6325317535522,25.4444368159681,8.0969680939532e-35,8.0969680939532e-35,"D_castanea_leaf - G_daltonii "
"147",91.6325317535522,18.3710798632665,4.52464339974578e-27,4.52464339974578e-27,"D_castanea_twig - G_daltonii "
"148",91.6325317535522,34.286133006845,2.56203115768232e-42,2.56203115768232e-42,"D_winitii - G_daltonii "
"149",91.6325317535522,21.9077583396173,3.46642639609565e-31,3.46642639609565e-31,"E_cherrevensis - G_daltonii "
"150",91.6325317535522,28.9811152923188,4.6998714776633e-38,4.6998714776633e-38,"E_cuneatum - G_daltonii "
"151",91.6325317535522,13.2625442863154,4.59579983979505e-20,4.59579983979505e-20,"E_succirubrum - G_daltonii "
"152",91.6325317535522,27.2127760541435,1.76040200960913e-36,1.76040200960913e-36,"F_indica - G_daltonii "
"153",91.6325317535522,42.6366238537843,5.97187509170544e-48,5.97187509170544e-48,"G_cowa - G_daltonii "
"154",91.6325317535522,-18.076356656904,1.055868156849e-26,1.055868156849e-26,"A_marginata - H_perforata"
"155",91.6325317535522,-14.5396781805532,6.02724564400437e-22,6.02724564400437e-22,"A_pulchellus - H_perforata"
"156",91.6325317535522,-12.0836514608651,3.02139213705459e-18,3.02139213705459e-18,"A_vanprukii - H_perforata"
"157",91.6325317535522,-19.8446958950793,7.50645270111412e-29,7.50645270111412e-29,"B_anceps - H_perforata"
"158",91.6325317535522,20.8271065829546,5.51452301761564e-30,5.51452301761564e-30,"B_insulana - H_perforata"
"159",91.6325317535522,2.84899099483813,0.00297223249468383,0.00297223249468383,"C_filiformis - H_perforata"
"160",91.6325317535522,19.0587673447792,6.49568475905185e-28,6.49568475905185e-28,"C_formosum - H_perforata"
"161",91.6325317535522,-21.6130351332547,7.29472283262058e-31,7.29472283262058e-31,"C_oblongifolius - H_perforata"
"162",91.6325317535522,-16.3080174187286,2.09384871333175e-24,2.09384871333175e-24,"C_tomentosa - H_perforata"
"163",91.6325317535522,13.753749630253,8.46643845107452e-21,8.46643845107452e-21,"D_castanea_leaf - H_perforata"
"164",91.6325317535522,6.68039267755146,3.83085820784877e-09,3.83085820784877e-09,"D_castanea_twig - H_perforata"
"165",91.6325317535522,22.5954458211299,6.29301050877368e-32,6.29301050877368e-32,"D_winitii - H_perforata"
"166",91.6325317535522,10.2170711539022,3.23274096511755e-15,3.23274096511755e-15,"E_cherrevensis - H_perforata"
"167",91.6325317535522,17.2904281066038,1.06033136230546e-25,1.06033136230546e-25,"E_cuneatum - H_perforata"
"168",91.6325317535522,1.57185710060035,0.0605367325465084,0.0605367325465084,"E_succirubrum - H_perforata"
"169",91.6325317535522,15.5220888684284,2.47318603039343e-23,2.47318603039343e-23,"F_indica - H_perforata"
"170",91.6325317535522,30.9459366680693,1.04301697904925e-39,1.04301697904925e-39,"G_cowa - H_perforata"
"171",91.6325317535522,-11.6906871857151,1.26782309576252e-17,1.26782309576252e-17,"G_daltonii  - H_perforata"
"172",91.6325317535522,-9.62762474117711,3.16562159134644e-14,3.16562159134644e-14,"A_marginata - L_coromandelica"
"173",91.6325317535522,-6.09094626482633,3.90412203788865e-08,3.90412203788865e-08,"A_pulchellus - L_coromandelica"
"174",91.6325317535522,-3.63491954513829,0.000283270618298619,0.000283270618298619,"A_vanprukii - L_coromandelica"
"175",91.6325317535522,-11.3959639793525,3.76351556366249e-17,3.76351556366249e-17,"B_anceps - L_coromandelica"
"176",91.6325317535522,29.2758384986814,2.61761977828541e-38,2.61761977828541e-38,"B_insulana - L_coromandelica"
"177",91.6325317535522,11.297722910565,5.42144450181327e-17,5.42144450181327e-17,"C_filiformis - L_coromandelica"
"178",91.6325317535522,27.507499260506,9.49293337842672e-37,9.49293337842672e-37,"C_formosum - L_coromandelica"
"179",91.6325317535522,-13.1643032175279,6.47002670748249e-20,6.47002670748249e-20,"C_oblongifolius - L_coromandelica"
"180",91.6325317535522,-7.85928550300172,3.47181608034614e-11,3.47181608034614e-11,"C_tomentosa - L_coromandelica"
